"说明：
1. 小区编号与冲突干扰矩阵和混淆矩阵中的小区编号一致；
2. 是否优化小区中，值为1的即为题目中选择的2067个小区；
3. 此表给出的是全量小区的基本信息，既包括题目中选择的小区，与选择小区相关联的小区，也包括其他小区",,,
小区编号,频点,现网PCI,是否优化小区
0,504990,895,0
1,504990,683,0
2,504990,711,0
3,504990,836,0
4,504990,835,0
5,504990,867,0
6,504990,753,0
7,504990,878,0
8,504990,881,0
9,504990,282,0
10,504990,693,0
11,504990,754,0
12,504990,753,0
13,504990,844,0
14,504990,755,0
15,504990,693,0
16,504990,768,0
17,504990,799,0
18,504990,710,0
19,504990,711,0
20,504990,892,0
21,504990,714,0
22,504990,715,0
23,504990,759,0
24,504990,861,0
25,504990,660,0
26,504990,678,0
27,504990,709,0
28,504990,150,0
29,504990,151,0
30,504990,152,0
31,504990,735,0
32,504990,736,0
33,504990,857,0
34,504990,708,0
35,504990,739,0
36,504990,756,0
37,504990,877,0
38,504990,848,0
39,504990,885,0
40,504990,878,0
41,504990,723,0
42,504990,791,0
43,504990,727,0
44,504990,350,0
45,504990,348,0
46,504990,349,0
47,504990,738,0
48,504990,739,0
49,504990,866,0
50,504990,862,0
51,504990,743,0
52,504990,741,0
53,504990,835,0
54,504990,748,0
55,504990,744,0
56,504990,430,0
57,504990,429,0
58,504990,431,0
59,504990,379,0
60,504990,380,0
61,504990,378,0
62,504990,467,0
63,504990,405,0
64,504990,466,0
65,504990,786,0
66,504990,897,0
67,504990,748,0
68,504990,660,0
69,504990,564,0
70,504990,510,0
71,504990,642,0
72,504990,73,0
73,504990,644,0
74,504990,678,0
75,504990,679,0
76,504990,770,0
77,504990,852,0
78,504990,853,0
79,504990,674,0
80,504990,765,0
81,504990,285,0
82,504990,286,0
83,504990,287,0
84,504990,720,0
85,504990,795,0
86,504990,736,0
87,504990,587,0
88,504990,585,0
89,504990,586,0
90,504990,867,0
91,504990,839,0
92,155770,378,0
93,155770,379,0
94,155770,380,0
95,155770,54,0
96,155770,55,0
97,155770,56,0
98,155770,762,0
99,155770,763,0
100,155770,764,0
101,155770,477,0
102,155770,479,0
103,155770,478,0
104,155770,204,0
105,155770,205,0
106,155770,206,0
107,155770,42,0
108,155770,43,0
109,155770,44,0
110,155770,641,0
111,155770,640,0
112,155770,639,0
113,504990,540,0
114,504990,601,0
115,504990,422,0
116,504990,84,0
117,504990,26,0
118,504990,235,0
119,504990,13,0
120,504990,254,0
121,504990,747,0
122,504990,687,0
123,504990,717,0
124,504990,560,0
125,504990,528,0
126,504990,589,0
127,504990,222,0
128,504990,283,0
129,504990,284,0
130,723360,90,0
131,723360,91,0
132,723360,92,0
133,504990,789,0
134,504990,850,0
135,504990,791,0
136,504990,852,0
137,504990,741,0
138,504990,799,0
139,504990,740,0
140,504990,678,0
141,504990,900,0
142,504990,751,0
143,504990,836,0
144,504990,840,0
145,504990,874,0
146,504990,894,0
147,504990,835,0
148,504990,776,0
149,504990,711,0
150,504990,893,0
151,504990,744,0
152,504990,772,0
153,504990,776,0
154,504990,719,0
155,504990,775,0
156,504990,834,0
157,504990,718,0
158,504990,765,0
159,504990,856,0
160,504990,887,0
161,504990,429,0
162,504990,430,0
163,504990,431,0
164,504990,618,0
165,504990,619,0
166,504990,500,0
167,504990,283,0
168,504990,630,0
169,504990,811,0
170,504990,812,0
171,504990,792,0
172,504990,738,0
173,504990,709,0
174,504990,456,0
175,504990,307,0
176,504990,308,0
177,504990,846,0
178,504990,740,0
179,504990,711,0
180,504990,378,0
181,504990,259,0
182,504990,590,0
183,504990,876,0
184,504990,726,0
185,504990,757,0
186,504990,878,0
187,504990,729,0
188,504990,607,0
189,504990,606,0
190,504990,772,0
191,504990,99,0
192,504990,100,0
193,504990,101,0
194,504990,848,0
195,504990,715,0
196,504990,863,0
197,504990,741,0
198,504990,772,0
199,504990,894,0
200,504990,838,0
201,504990,716,0
202,504990,871,0
203,504990,717,0
204,504990,839,0
205,504990,891,0
206,504990,862,0
207,504990,893,0
208,504990,894,0
209,155770,501,0
210,155770,502,0
211,155770,503,0
212,504990,876,0
213,504990,306,0
214,504990,307,0
215,504990,308,0
216,155770,228,0
217,155770,229,0
218,155770,230,0
219,155770,120,0
220,155770,459,0
221,155770,460,0
222,155770,461,0
223,155770,446,0
224,155770,444,0
225,155770,445,0
226,155770,696,0
227,155770,697,0
228,155770,698,0
229,155770,116,0
230,155770,115,0
231,155770,114,0
232,155770,591,0
233,155770,592,0
234,155770,593,0
235,155770,375,0
236,155770,376,0
237,155770,377,0
238,155770,540,0
239,155770,541,0
240,155770,542,0
241,155770,444,0
242,155770,445,0
243,155770,446,0
244,155770,159,0
245,155770,40,0
246,723360,390,0
247,723360,391,0
248,723360,392,0
249,504990,736,0
250,504990,857,0
251,504990,252,0
252,504990,253,0
253,504990,254,0
254,504990,856,0
255,504990,795,0
256,504990,659,0
257,504990,887,0
258,504990,769,0
259,504990,770,0
260,504990,887,0
261,504990,888,0
262,504990,889,0
263,504990,885,0
264,504990,886,0
265,504990,678,0
266,504990,799,0
267,504990,845,0
268,504990,723,0
269,504990,852,0
270,504990,609,0
271,504990,610,0
272,504990,611,0
273,504990,834,0
274,504990,775,0
275,155770,23,0
276,155770,381,0
277,155770,22,0
278,155770,359,0
279,155770,358,0
280,155770,357,0
281,155770,111,0
282,155770,112,0
283,155770,113,0
284,155770,630,0
285,155770,631,0
286,155770,632,0
287,155770,477,0
288,155770,478,0
289,155770,479,0
290,155770,600,0
291,155770,601,0
292,155770,602,0
293,155770,717,0
294,155770,718,0
295,155770,719,0
296,155770,777,0
297,155770,778,0
298,155770,779,0
299,155770,111,0
300,155770,112,0
301,155770,113,0
302,155770,600,0
303,155770,601,0
304,155770,602,0
305,155770,489,0
306,155770,490,0
307,155770,491,0
308,504990,678,0
309,504990,756,0
310,504990,877,0
311,504990,855,0
312,504990,697,0
313,504990,698,0
314,504990,869,0
315,507150,931,0
316,504990,693,0
317,504990,732,0
