"说明：
1. 小区编号与小区基本信息中的小区编号一致；
2. 冲突MR数和干扰MR数的规则接近，因此放到同一张表中，其值与题目中的说明一致。
3. 表中只给了同频小区间的，对于不同频小区间的，由于全是0，因此没有给出。
4. 表中只给出了题目中选择的2067个小区之间以及这些小区与其他有关联小区之间的冲突和干扰MR数。即主控和邻区两个小区中，至少有一个是2067个小区中的。对于两个小区都不是选择小区的，由于与题目计算无关，则没有给出。",,,
小区编号,邻小区编号,冲突MR数,干扰MR数
62638,63336,2,0
62638,68566,11,0
62638,69011,65,14
62638,84802,9,5
62613,62614,85594,25899
62613,62615,21328,1196
62613,62616,1109,31
62613,62617,109,1
62613,62618,102,1
62613,62654,4,1
62613,62655,14148,5042
62613,62656,944,28
62613,62657,13733,4477
62613,62661,329,9
62613,62662,1223,3
62613,62668,1,1
62613,62669,20,4
62613,62705,10,2
62613,62706,43,17
62613,62707,1,1
62613,62725,22,8
62613,62729,1,1
62613,62744,17903,6573
62613,62745,280,59
62613,62824,15325,3464
62613,62825,12397,2111
62613,62826,42,42
62613,62827,1034,390
62613,62828,5885,1713
62613,62829,217,44
62613,62874,5199,650
62613,63109,121,6
62613,63377,36,2
62613,63452,1,0
62613,64499,4089,284
62613,64500,46,0
62613,64501,70,6
62613,64734,1,0
62613,64737,1,1
62613,65308,335,246
62613,65309,6537,2936
62613,65310,84430,14715
62613,66694,1,1
62613,66741,1,1
62613,66742,1,0
62613,66760,8,3
62613,66980,540,117
62613,66994,17,1
62613,67017,2489,122
62613,67018,3089,131
62613,67935,8552,422
62613,67936,74706,15891
62613,67937,3297,1
62613,67938,18,9
62613,67939,2,1
62613,67940,7,5
62613,68069,1,1
62613,68070,1,1
62613,68079,1,1
62613,68217,2057,270
62613,68755,24,0
62613,70024,1,1
62613,70025,1,0
62613,70026,2,0
62613,70034,14,0
62613,72084,20,20
62613,72085,1,0
62613,72086,10,6
62613,72133,1,1
62613,72368,42,13
62613,72369,6,2
62613,72374,1,1
62613,72375,1,1
62613,73678,1,1
62613,74668,2441,784
62613,74670,323,9
62613,74671,1049,262
62613,75648,4,2
62613,75649,892,82
62613,75650,714,61
62613,78437,16,0
62613,78575,1,1
62613,78577,1,0
62613,82253,1,1
62613,82255,1,0
62613,82479,6,0
62613,82480,31,5
62613,82481,1,0
62613,82958,487,129
62613,83057,1,1
62613,83823,470,187
62613,83825,35,28
62613,83826,78,4
62613,84270,426,123
62613,85392,123,4
62613,85999,1,0
62613,86655,1,0
62613,87018,2,2
