分拣中心,日期,小时,修正后时货量
SC1,2023/12/01,0,2764.0
SC1,2023/12/01,1,2978.0
SC1,2023/12/01,2,2788.0
SC1,2023/12/01,3,3013.0
SC1,2023/12/01,4,2697.0
SC1,2023/12/01,5,2258.0
SC1,2023/12/01,6,8.0
SC1,2023/12/01,7,662.0
SC1,2023/12/01,8,1223.0
SC1,2023/12/01,9,1529.0
SC1,2023/12/01,10,1293.0
SC1,2023/12/01,11,960.0
SC1,2023/12/01,12,2388.0
SC1,2023/12/01,13,2418.0
SC1,2023/12/01,14,86.0
SC1,2023/12/01,15,45.0
SC1,2023/12/01,16,680.0
SC1,2023/12/01,17,638.0
SC1,2023/12/01,18,858.0
SC1,2023/12/01,19,1858.0
SC1,2023/12/01,20,2797.0
SC1,2023/12/01,21,2615.0
SC1,2023/12/01,22,2659.0
SC1,2023/12/01,23,2743.0
SC1,2023/12/02,0,3192.0
SC1,2023/12/02,1,3023.0
SC1,2023/12/02,2,2097.0
SC1,2023/12/02,3,2685.0
SC1,2023/12/02,4,2472.0
SC1,2023/12/02,5,1888.0
SC1,2023/12/02,6,9.0
SC1,2023/12/02,7,829.0
SC1,2023/12/02,8,1433.0
SC1,2023/12/02,9,1529.0
SC1,2023/12/02,10,1535.0
SC1,2023/12/02,11,1643.0
SC1,2023/12/02,12,2234.0
SC1,2023/12/02,13,2141.0
SC1,2023/12/02,14,65.0
SC1,2023/12/02,15,56.0
SC1,2023/12/02,16,552.0
SC1,2023/12/02,17,462.0
SC1,2023/12/02,18,852.0
SC1,2023/12/02,19,1719.0
SC1,2023/12/02,20,2419.0
SC1,2023/12/02,21,2538.0
SC1,2023/12/02,22,2378.0
SC1,2023/12/02,23,2552.0
SC1,2023/12/03,0,2931.0
SC1,2023/12/03,1,2829.0
SC1,2023/12/03,2,2740.0
SC1,2023/12/03,3,2691.0
SC1,2023/12/03,4,2591.0
SC1,2023/12/03,5,1752.0
SC1,2023/12/03,6,11.0
SC1,2023/12/03,7,757.0
SC1,2023/12/03,8,1362.0
SC1,2023/12/03,9,1131.0
SC1,2023/12/03,10,1248.0
SC1,2023/12/03,11,1302.0
SC1,2023/12/03,12,2123.0
SC1,2023/12/03,13,2420.0
SC1,2023/12/03,14,63.0
SC1,2023/12/03,15,0.0
SC1,2023/12/03,16,511.0
