分拣中心,日期,班次,正式工人数,临时工人数,班次货量
SC1,2023/12/01,00:00-08:00,60,33,17167.0
SC1,2023/12/01,05:00-13:00,52,0,10320.0
SC1,2023/12/01,08:00-16:00,50,0,9942.0
SC1,2023/12/01,12:00-20:00,45,0,8971.0
SC1,2023/12/01,14:00-22:00,48,0,9576.0
SC1,2023/12/01,16:00-24:00,60,18,14848.0
SC1,2023/12/02,00:00-08:00,60,27,16195.0
SC1,2023/12/02,05:00-13:00,56,0,11099.0
SC1,2023/12/02,08:00-16:00,54,0,10636.0
SC1,2023/12/02,12:00-20:00,41,0,8081.0
SC1,2023/12/02,14:00-22:00,44,0,8664.0
SC1,2023/12/02,16:00-24:00,60,10,13472.0
SC1,2023/12/03,00:00-08:00,60,27,16301.0
SC1,2023/12/03,05:00-13:00,49,0,9686.0
SC1,2023/12/03,08:00-16:00,49,0,9650.0
SC1,2023/12/03,12:00-20:00,41,0,8095.0
SC1,2023/12/03,14:00-22:00,42,0,8335.0
SC1,2023/12/03,16:00-24:00,60,6,12935.0
SC1,2023/12/04,00:00-08:00,60,22,15429.0
SC1,2023/12/04,05:00-13:00,51,0,10071.0
SC1,2023/12/04,08:00-16:00,53,0,10452.0
SC1,2023/12/04,12:00-20:00,43,0,8485.0
SC1,2023/12/04,14:00-22:00,39,0,7667.0
SC1,2023/12/04,16:00-24:00,60,2,12270.0
SC1,2023/12/05,00:00-08:00,60,26,16001.0
SC1,2023/12/05,05:00-13:00,51,0,10083.0
SC1,2023/12/05,08:00-16:00,53,0,10522.0
SC1,2023/12/05,12:00-20:00,44,0,8698.0
SC1,2023/12/05,14:00-22:00,37,0,7345.0
SC1,2023/12/05,16:00-24:00,60,0,11834.0
SC1,2023/12/06,00:00-08:00,60,23,15559.0
SC1,2023/12/06,05:00-13:00,51,0,10037.0
SC1,2023/12/06,08:00-16:00,53,0,10463.0
SC1,2023/12/06,12:00-20:00,42,0,8287.0
SC1,2023/12/06,14:00-22:00,38,0,7509.0
SC1,2023/12/06,16:00-24:00,60,0,11810.0
SC1,2023/12/07,00:00-08:00,60,17,14654.0
SC1,2023/12/07,05:00-13:00,48,0,9509.0
SC1,2023/12/07,08:00-16:00,48,0,9558.0
SC1,2023/12/07,12:00-20:00,40,0,7971.0
SC1,2023/12/07,14:00-22:00,38,0,7589.0
SC1,2023/12/07,16:00-24:00,59,0,11773.0
SC1,2023/12/08,00:00-08:00,60,18,14813.0
SC1,2023/12/08,05:00-13:00,49,0,9687.0
SC1,2023/12/08,08:00-16:00,48,0,9580.0
SC1,2023/12/08,12:00-20:00,37,0,7239.0
SC1,2023/12/08,14:00-22:00,36,0,7153.0
SC1,2023/12/08,16:00-24:00,57,0,11334.0
SC1,2023/12/09,00:00-08:00,60,17,14669.0
SC1,2023/12/09,05:00-13:00,47,0,9271.0
SC1,2023/12/09,08:00-16:00,50,0,9805.0
SC1,2023/12/09,12:00-20:00,39,0,7730.0
SC1,2023/12/09,14:00-22:00,37,0,7212.0
SC1,2023/12/09,16:00-24:00,57,0,11316.0
SC1,2023/12/10,00:00-08:00,60,20,15060.0
SC1,2023/12/10,05:00-13:00,48,0,9563.0
SC1,2023/12/10,08:00-16:00,53,0,10532.0
SC1,2023/12/10,12:00-20:00,43,0,8506.0
SC1,2023/12/10,14:00-22:00,36,0,7026.0
SC1,2023/12/10,16:00-24:00,56,0,11125.0
SC1,2023/12/11,00:00-08:00,60,17,14635.0
SC1,2023/12/11,05:00-13:00,45,0,8936.0
SC1,2023/12/11,08:00-16:00,51,0,10035.0
SC1,2023/12/11,12:00-20:00,44,0,8671.0
SC1,2023/12/11,14:00-22:00,37,0,7364.0
SC1,2023/12/11,16:00-24:00,58,0,11470.0
SC1,2023/12/12,00:00-08:00,60,15,14309.0
SC1,2023/12/12,05:00-13:00,48,0,9524.0
SC1,2023/12/12,08:00-16:00,52,0,10251.0
SC1,2023/12/12,12:00-20:00,41,0,8021.0
SC1,2023/12/12,14:00-22:00,36,0,7023.0
SC1,2023/12/12,16:00-24:00,56,0,11093.0
