分拣中心,日期,班次,出勤正式工编号,类型
SC60,2023/12/02,16:00-24:00,1,正式工
SC60,2023/12/03,08:00-16:00,1,正式工
SC60,2023/12/04,05:00-13:00,1,正式工
SC60,2023/12/05,16:00-24:00,1,正式工
SC60,2023/12/06,12:00-20:00,1,正式工
SC60,2023/12/07,05:00-13:00,1,正式工
SC60,2023/12/08,05:00-13:00,1,正式工
SC60,2023/12/10,16:00-24:00,1,正式工
SC60,2023/12/11,08:00-16:00,1,正式工
SC60,2023/12/12,14:00-22:00,1,正式工
SC60,2023/12/13,00:00-08:00,1,正式工
SC60,2023/12/15,00:00-08:00,1,正式工
SC60,2023/12/16,00:00-08:00,1,正式工
SC60,2023/12/18,12:00-20:00,1,正式工
SC60,2023/12/19,08:00-16:00,1,正式工
SC60,2023/12/22,00:00-08:00,1,正式工
SC60,2023/12/25,08:00-16:00,1,正式工
SC60,2023/12/26,05:00-13:00,1,正式工
SC60,2023/12/29,00:00-08:00,1,正式工
SC60,2023/12/30,08:00-16:00,1,正式工
SC60,2023/12/02,14:00-22:00,2,正式工
SC60,2023/12/03,16:00-24:00,2,正式工
SC60,2023/12/04,16:00-24:00,2,正式工
SC60,2023/12/06,12:00-20:00,2,正式工
SC60,2023/12/07,08:00-16:00,2,正式工
SC60,2023/12/08,12:00-20:00,2,正式工
SC60,2023/12/09,05:00-13:00,2,正式工
SC60,2023/12/11,05:00-13:00,2,正式工
SC60,2023/12/13,05:00-13:00,2,正式工
SC60,2023/12/14,08:00-16:00,2,正式工
SC60,2023/12/15,12:00-20:00,2,正式工
SC60,2023/12/16,16:00-24:00,2,正式工
SC60,2023/12/20,16:00-24:00,2,正式工
SC60,2023/12/22,00:00-08:00,2,正式工
SC60,2023/12/23,14:00-22:00,2,正式工
SC60,2023/12/24,12:00-20:00,2,正式工
SC60,2023/12/26,12:00-20:00,2,正式工
SC60,2023/12/27,16:00-24:00,2,正式工
SC60,2023/12/28,16:00-24:00,2,正式工
SC60,2023/12/29,05:00-13:00,2,正式工
SC60,2023/12/02,00:00-08:00,3,正式工
SC60,2023/12/05,08:00-16:00,3,正式工
SC60,2023/12/07,16:00-24:00,3,正式工
SC60,2023/12/08,05:00-13:00,3,正式工
SC60,2023/12/10,05:00-13:00,3,正式工
SC60,2023/12/12,08:00-16:00,3,正式工
SC60,2023/12/14,00:00-08:00,3,正式工
SC60,2023/12/18,05:00-13:00,3,正式工
SC60,2023/12/20,14:00-22:00,3,正式工
SC60,2023/12/23,00:00-08:00,3,正式工
SC60,2023/12/25,08:00-16:00,3,正式工
SC60,2023/12/26,00:00-08:00,3,正式工
SC60,2023/12/27,14:00-22:00,3,正式工
SC60,2023/12/30,16:00-24:00,3,正式工
SC60,2023/12/02,12:00-20:00,4,正式工
SC60,2023/12/04,14:00-22:00,4,正式工
SC60,2023/12/05,08:00-16:00,4,正式工
SC60,2023/12/08,14:00-22:00,4,正式工
